Datenum RHTd Global Event NonEvent
730581 91.9355555555556 39.2118518518519 0 1
730582 57.8618518518518 275.197407407407 1 0
730583 47.0525925925926 361.034074074074 1 0
730585 46.2085714285714 370.658214285714 1 0
730587 89.5360714285714 69.7203571428571 0 1
730589 66.4510714285714 328.374642857143 0 1
730590 96.5214285714286 61.1292857142857 0 1
730594 77.2865517241379 187.52 0 1
730595 62.3806896551724 342.96275862069 0 1
730596 76.1306666666667 170.517 0 1
730601 72.07 195.196451612903 0 1
730604 84.0970967741935 151.951612903226 0 1
730605 77.6483870967742 157.613225806452 0 1
730607 35.4703125 421.7184375 1 0
730608 37.6896875 329.411875 1 0
730610 52.478 228.2045 1 0
730612 40.7224242424242 432.185757575758 1 0
730613 33.9521212121212 387.870909090909 1 0
730614 50.5457575757576 353.962121212121 1 0
730618 38.8239393939394 333.637878787879 1 0
730620 NaN NaN 1 0
730621 NaN NaN 1 0
730622 NaN NaN 1 0
730624 NaN 368.874571428572 1 0
730629 75.7757142857143 NaN 0 1
730633 50.1580555555555 429.521944444445 1 0
730635 86.2061111111111 88.4811111111111 0 1
730639 78.3894594594595 223.348108108108 0 1
730640 70.2948387096774 193.630909090909 0 1
730642 65.5925714285715 243.445 1 0
730644 85.3089189189189 149.075135135135 0 1
730645 94.6581081081081 106.802162162162 0 1
730647 44.4737837837838 433.463243243243 1 0
730648 47.1491891891892 336.644324324324 1 0
730651 40.667 380.115161290323 1 0
730652 50.2436842105263 355.107368421053 1 0
730654 52.0002631578947 220.936052631579 1 0
730656 77.1636842105263 214.095526315789 0 1
730657 64.0392105263158 286.215526315789 0 1
730659 46.8005263157895 366.137105263158 0 1
730660 63.3876315789474 322.807894736842 0 1
730661 63.0642105263158 271.793421052632 0 1
730662 61.8442105263158 240.068157894737 0 1
730663 94.4821052631579 94.3873684210526 0 1
730669 73.1110526315789 191.970526315789 0 1
730671 67.3789189189189 316.514324324324 0 1
730678 52.2047222222222 338.117222222222 0 1
730679 64.2841666666666 302.5775 0 1
730681 69.9791666666667 156.8375 0 1
730682 82.5269444444444 165.425555555556 0 1
730684 73.02875 269.306388888889 0 1
730688 70.8434285714286 271.439714285714 0 1
730692 96.1329411764706 50.0252941176471 0 1
730710 92.5559375 110.885 0 1
